2024-07-16 10:57:45.834550;8;H=69;T=35;Hs=67.40293;sp=20;sf=12;lost_time=0;rx_timestamp=2119563110; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;12;H=56;T=34;Hs=62.70039;sp=20;sf=12;lost_time=0;rx_timestamp=3321107350; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;16;H=51;T=36;Hs=62.09476;sp=20;sf=12;lost_time=0;rx_timestamp=227689556; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;20;H=43;T=38;Hs=62.09476;sp=20;sf=12;lost_time=0;rx_timestamp=1429248320; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;24;H=41;T=40;Hs=62.09476;sp=20;sf=12;lost_time=0;rx_timestamp=2630804443; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;28;H=43;T=38;Hs=62.55789;sp=20;sf=12;lost_time=0;rx_timestamp=3832353400; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;32;H=41;T=40;Hs=62.05914;sp=20;sf=12;lost_time=0;rx_timestamp=739271884; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;36;H=38;T=41;Hs=61.98789;sp=20;sf=12;lost_time=0;rx_timestamp=1940826733; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;40;H=41;T=39;Hs=62.16602;sp=20;sf=12;lost_time=0;rx_timestamp=3142375447; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;44;H=36;T=40;Hs=60.84788;sp=20;sf=12;lost_time=0;rx_timestamp=48956326; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;48;H=39;T=40;Hs=60.95476;sp=20;sf=12;lost_time=1;rx_timestamp=1250510134; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;52;H=46;T=37;Hs=60.38476;sp=20;sf=12;lost_time=0;rx_timestamp=2454149271; rssi=-94; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;56;H=46;T=37;Hs=60.84788;sp=20;sf=12;lost_time=0;rx_timestamp=3655700540; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;60;H=56;T=32;Hs=60.13538;sp=20;sf=12;lost_time=0;rx_timestamp=562286902; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;64;H=64;T=29;Hs=58.85287;sp=20;sf=12;lost_time=0;rx_timestamp=1763834883; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;68;H=74;T=27;Hs=56.92911;sp=20;sf=12;lost_time=0;rx_timestamp=2965450917; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;72;H=77;T=27;Hs=56.85785;sp=20;sf=12;lost_time=0;rx_timestamp=4167004761; rssi=-93; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;76;H=78;T=27;Hs=58.99537;sp=20;sf=12;lost_time=1;rx_timestamp=1073585570; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;80;H=59;T=34;Hs=56.71535;sp=20;sf=12;lost_time=0;rx_timestamp=2275142530; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;84;H=50;T=35;Hs=56.39472;sp=20;sf=12;lost_time=0;rx_timestamp=3476689412; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;88;H=52;T=33;Hs=56.2166;sp=20;sf=12;lost_time=0;rx_timestamp=383271787; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;92;H=71;T=26;Hs=55.7891;sp=20;sf=12;lost_time=0;rx_timestamp=1584827301; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;96;H=80;T=24;Hs=55.61098;sp=20;sf=12;lost_time=0;rx_timestamp=2786389906; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;100;H=87;T=24;Hs=54.47097;sp=20;sf=12;lost_time=0;rx_timestamp=3987938180; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;104;H=91;T=23;Hs=54.32847;sp=20;sf=12;lost_time=0;rx_timestamp=894539269; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;108;H=95;T=23;Hs=54.29284;sp=20;sf=12;lost_time=0;rx_timestamp=2096090799; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;112;H=95;T=23;Hs=54.72034;sp=20;sf=12;lost_time=1;rx_timestamp=3297642778; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;116;H=95;T=23;Hs=53.72283;sp=20;sf=12;lost_time=0;rx_timestamp=204231760; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;120;H=95;T=23;Hs=54.11472;sp=20;sf=12;lost_time=0;rx_timestamp=1405781412; rssi=-91; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;124;H=95;T=22;Hs=54.11472;sp=20;sf=12;lost_time=0;rx_timestamp=2607336940; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;128;H=95;T=22;Hs=54.11472;sp=20;sf=12;lost_time=0;rx_timestamp=3808893518; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;132;H=95;T=22;Hs=53.93659;sp=20;sf=12;lost_time=0;rx_timestamp=715482328; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;136;H=95;T=22;Hs=54.75597;sp=20;sf=12;lost_time=0;rx_timestamp=1917043444; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;140;H=94;T=21;Hs=54.72034;sp=20;sf=12;lost_time=0;rx_timestamp=3118597938; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;144;H=94;T=21;Hs=54.22159;sp=20;sf=12;lost_time=0;rx_timestamp=25186733; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;148;H=95;T=22;Hs=53.72283;sp=20;sf=12;lost_time=1;rx_timestamp=1226814292; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;152;H=49;T=35;Hs=55.04097;sp=20;sf=12;lost_time=1;rx_timestamp=1006158472; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;156;H=61;T=31;Hs=54.47097;sp=20;sf=12;lost_time=0;rx_timestamp=2209788131; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;160;H=60;T=31;Hs=53.97221;sp=20;sf=12;lost_time=0;rx_timestamp=3411375035; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;164;H=57;T=33;Hs=54.75597;sp=20;sf=12;lost_time=0;rx_timestamp=317958290; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;168;H=56;T=33;Hs=54.72034;sp=20;sf=12;lost_time=0;rx_timestamp=1519517642; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;172;H=46;T=38;Hs=55.14785;sp=20;sf=12;lost_time=0;rx_timestamp=2723149463; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;176;H=47;T=38;Hs=55.18347;sp=20;sf=12;lost_time=0;rx_timestamp=3924709338; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;180;H=52;T=36;Hs=55.2191;sp=20;sf=12;lost_time=0;rx_timestamp=849998897; rssi=-93; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;184;H=51;T=36;Hs=55.11222;sp=20;sf=12;lost_time=0;rx_timestamp=2051565655; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;188;H=49;T=36;Hs=55.18347;sp=20;sf=12;lost_time=1;rx_timestamp=3254212198; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;192;H=50;T=34;Hs=55.96723;sp=20;sf=12;lost_time=0;rx_timestamp=160802328; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;196;H=40;T=39;Hs=55.57535;sp=20;sf=12;lost_time=1;rx_timestamp=1362356861; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;200;H=52;T=34;Hs=55.43285;sp=20;sf=12;lost_time=0;rx_timestamp=2563909917; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;204;H=46;T=35;Hs=56.71535;sp=20;sf=12;lost_time=0;rx_timestamp=3765465100; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;208;H=51;T=34;Hs=55.46847;sp=20;sf=12;lost_time=0;rx_timestamp=672050790; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;212;H=54;T=32;Hs=55.14785;sp=20;sf=12;lost_time=0;rx_timestamp=1873603571; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;216;H=63;T=29;Hs=54.7916;sp=20;sf=12;lost_time=0;rx_timestamp=3075160923; rssi=-93; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;220;H=77;T=26;Hs=55.18347;sp=20;sf=12;lost_time=0;rx_timestamp=4276725056; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;224;H=73;T=25;Hs=55.14785;sp=20;sf=12;lost_time=1;rx_timestamp=1183315301; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;228;H=78;T=24;Hs=54.29284;sp=20;sf=12;lost_time=0;rx_timestamp=2384870770; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;232;H=85;T=24;Hs=54.29284;sp=20;sf=12;lost_time=0;rx_timestamp=3586489588; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;236;H=90;T=24;Hs=54.07909;sp=20;sf=12;lost_time=0;rx_timestamp=493083093; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;240;H=94;T=24;Hs=54.72034;sp=20;sf=12;lost_time=0;rx_timestamp=1694636938; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;244;H=95;T=24;Hs=54.07909;sp=20;sf=12;lost_time=0;rx_timestamp=2896191085; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
